entity_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
11,0.089810304,0.1586027,-0.093603194,0.14371173,-0.14914532,-0.21880849,0.19931182,0.052567508,-0.06833809,-0.102018,0.07880421,0.15325138,0.16898695,0.05830639,-0.1682273,0.056804053,-0.21505867,-0.12965734,-0.18080723,0.03634964,-0.12140865,0.18595308,0.19047727,0.06402253,-0.15017697,-0.101684004,-0.17299241,0.026901558,-0.08213098,-0.11539445,0.061293047,-0.12733398,0.14500335,0.09745939,0.08202054,-0.13627298,-0.13556667,0.0011885781,0.21665995,0.22377662,0.031137744,-0.1733726,-0.07213577,0.09222076,-0.12753808,-0.07726462,-0.11392087,0.14105023,-0.2052244,0.18698013,0.08949442,0.12989809,0.15076815,0.19295652,0.109202534,-0.13426071,-0.02608751,0.062837794,-0.07835995,-0.037996035,-0.16701,-0.1491106,-0.12642765,-0.008472584
12,0.050522733,0.08500513,-0.060009062,0.14527935,-0.11820398,-0.17848551,0.19878218,0.11665467,-0.06746562,-0.16158515,0.106378354,0.1931895,0.08593398,0.04669282,-0.17683297,0.08286564,-0.21496542,-0.199555,-0.18708518,0.005783188,-0.0565985,0.21860841,0.19204654,-0.043315627,-0.1011704,-0.17702967,-0.17539233,-0.096353784,-0.15214755,-0.16395037,0.16029029,-0.16818015,0.10102107,-0.003406515,0.04741419,-0.03967272,-0.15606837,0.062008277,0.22165745,0.19899121,-0.003545504,-0.09255882,0.08680268,0.09131979,0.014655015,-0.004895642,-0.18231654,0.08865511,-0.09874985,0.2086187,0.024689827,0.10963092,0.12665093,0.0822988,0.10534483,-0.18958639,-0.047657177,0.072634354,-0.12774053,-0.06379166,-0.15877737,0.028385213,-0.12380914,-0.0018304371
13,-0.028429221,0.18307304,-0.12459839,0.025580265,-0.21828379,-0.21084744,0.14127411,-0.009259155,0.060869224,-0.010569742,0.13281424,0.15642527,0.22505893,-0.06380389,-0.22839978,-0.034872305,-0.24140617,-0.014404529,-0.15620837,0.1104196,-0.16128586,0.15762866,0.25967962,0.14447635,0.0003041695,-0.021932125,-0.18312927,0.033455793,0.047174152,-0.15988965,0.16250107,-0.17593093,-0.012622045,0.12056947,-0.02561306,-0.14655212,-0.16730654,0.042919185,0.2056979,0.08999372,-0.029155621,-0.18444741,-0.18351918,-0.062327918,-0.15419924,-0.023790456,0.009477107,0.05204247,-0.22376868,0.12449974,0.13814181,0.085066706,0.05428125,0.05382198,0.076895654,0.020540737,-0.06487985,0.05662878,0.03199611,-0.07075986,-0.2148531,-0.08910538,-0.109083414,0.04110611
14,0.056836158,0.15616974,-0.21114215,0.13129531,-0.0024444258,-0.08280266,0.076287605,-0.035869624,-0.010897594,-0.20786396,0.066553526,0.021135608,-0.025002157,-0.104101494,-0.20296852,-0.072815664,-0.07630291,-0.23636723,0.052957904,-0.061461855,-0.22515823,0.18792279,0.10104995,0.09607313,-0.020449283,-0.2142601,-0.19548115,-0.15975751,-0.17130066,-0.057846535,-0.07891657,-0.1687398,0.19098128,0.18964827,0.09822808,-0.12066614,-0.020162193,0.0711724,0.18463337,0.07948629,-0.051631976,-0.13063489,0.11032901,-0.046039104,-0.13077441,-0.025680024,-0.15327564,0.19915679,-0.09770204,0.21816021,0.1975402,0.06545127,0.05209113,0.04396608,0.025447221,-0.24329884,-0.05805993,0.12326385,-0.12776849,-0.07776042,-0.03745357,-0.16580866,0.056858487,0.11403629
15,0.19518171,-0.10377033,0.15981413,-0.18867633,-0.20434314,-0.09685752,-0.100731336,-0.11953948,0.17740895,-0.10249531,0.20370294,0.18234293,-0.12159059,0.15879467,0.11361463,-0.13696854,0.09427361,-0.03458698,0.000961499,-0.18783763,0.077636294,0.028120097,0.11238357,0.16536944,-0.11774102,-0.0139764985,-0.10985048,0.09039574,-0.16530772,-0.17892158,-0.14543007,0.18854615,0.022002447,-0.12502858,-0.108190954,-0.2039235,-0.16281502,0.04731638,-0.0020814585,0.093573056,-0.06320446,-0.05465791,0.10541249,0.10864823,-0.12819003,0.16279565,-0.08908539,-0.15201026,-0.05351687,0.11920181,0.14135137,0.15739179,-0.19095188,0.1383676,-0.12322641,-0.13384596,-0.0022627376,0.01402228,0.21000783,-0.107440434,-0.1362433,0.13514952,-0.023403324,0.1421929
16,-0.08824472,0.12933141,-0.14009005,-0.12156116,-0.21880606,-0.15188846,0.05565051,-0.11053747,0.16796267,0.020212261,0.14129579,0.08816531,0.2214397,-0.13900092,-0.22033182,-0.11543271,-0.2011006,0.05719938,-0.050818026,0.11732766,-0.16130695,0.10611044,0.21667048,0.14127217,0.16075666,0.0048826667,-0.12229576,-0.008065415,0.1230938,-0.15366265,0.17080897,-0.16847986,-0.110334486,0.13145009,-0.111369334,-0.15941752,-0.13826704,0.11203049,0.12684436,-0.059384532,-0.122781165,-0.19149014,-0.20786925,-0.19265057,-0.09416901,0.07453089,0.11008338,-0.05881594,-0.17522456,0.07461993,0.1728324,0.025706716,-0.11846374,-0.0971233,-0.009860548,0.11825126,-0.11714398,0.10547626,0.1357424,-0.13346712,-0.17735462,0.013059014,-0.005027409,0.14303112
17,-0.058333766,-0.12740228,-0.12245516,0.0015700525,-0.115349084,-0.090673685,0.10970418,-0.039271336,0.23348203,0.021069145,0.067560576,-0.046339236,-0.0008512691,-0.18553732,0.10047043,0.06340416,-0.1514898,0.13322751,-0.050738133,-0.12734446,-0.14173414,-6.8477006e-05,0.16341987,-0.13979954,0.15494962,0.07627802,0.12789986,-0.220764,0.037209544,-0.05355948,0.046171818,-0.17264137,-0.116287485,-0.04598326,-0.15979365,0.025503034,0.02857769,0.004068794,-0.20121583,-0.026302401,-0.05958055,-0.20564044,0.15339892,-0.18471737,0.26491424,0.1307959,-0.0741322,-0.16231538,0.16492397,-0.094371006,0.11104887,-0.09774846,-0.25015116,-0.2404599,-0.2258952,0.123597935,0.077041216,0.086129636,0.069685906,-0.004929942,0.1291546,0.12366152,-0.014234359,0.18722251
18,0.201388,0.14084345,-0.120072894,-0.14339149,0.16384044,-0.103909545,0.17627017,-0.09122452,-0.1041992,-0.13857475,-0.042084493,-0.17788376,0.00197132,0.05206267,0.093632765,0.14533038,-0.10178984,-0.0956774,0.20506507,-0.09215488,-0.14703235,-0.0974946,-0.1613918,-0.18384685,0.059366804,-0.13713771,0.04683569,-0.11334339,0.11921767,0.044771463,-0.13319227,0.14499469,0.08359465,0.10517528,0.13445958,-0.19065553,0.15391232,0.11220293,-0.12219249,-0.06641643,-0.16928943,-0.15755385,-0.13257515,0.14317095,0.15503576,0.081806205,0.13051173,0.19141702,-0.15593395,0.018233297,0.14303279,-0.06771193,0.08911189,-0.043033328,0.20848724,-0.1318754,-0.11690442,0.16194837,0.17086422,-0.13339788,0.17093265,-0.058805022,0.14962246,0.15406126
19,-0.07891429,-0.10960085,0.066134624,-0.18704031,-0.012904897,0.06842026,-0.1470836,0.08964372,-0.040364593,0.08748905,0.19176157,0.13105845,-0.15304133,0.08209256,-0.06599237,-0.18976639,0.022958683,-0.024761705,0.06858786,0.15885307,0.12375544,-0.009398514,-0.14834115,0.025104675,0.16210124,-0.0702964,0.13805935,-0.041403733,0.03431831,-0.19187504,0.17047296,-0.05141582,-0.20045903,-0.09907504,-0.12185061,-0.13183849,-0.03325517,0.18636051,0.13904303,-0.2055772,-0.17028907,0.14794207,0.05244318,-0.002211274,0.018948514,0.07786343,0.19828136,-0.22369868,0.2009453,-0.024209622,-0.07785676,0.14999537,-0.14580424,-0.11734263,-0.07607927,0.100839995,-0.18626016,0.07939226,0.066934675,-0.21664387,-0.12833172,0.21548744,0.123104066,0.11874191
20,0.14563721,-0.049431905,0.12363833,-0.18983284,-0.023431497,0.1998331,-0.24112533,-0.0060587833,-0.07244417,0.12260193,0.028839521,-0.008260197,0.013011686,0.11903578,0.119972214,-0.038198218,0.19575801,-0.049190246,0.23213036,0.072958946,0.10867641,-0.10744622,-0.12852478,0.07921982,0.0013246848,-0.1147339,0.1517664,0.052159246,-0.0047839787,-0.050561443,0.004680751,0.16739382,-0.09194073,0.08700655,0.04314767,-0.010546304,-0.014084203,0.23402219,0.03195648,-0.114941865,-0.124656364,0.11965991,-0.07700493,-0.1313103,-0.03480938,0.20205083,0.16503936,-0.04252651,0.10955231,-0.120735794,-0.021085557,0.11451312,-0.14754903,0.018912604,-0.08852836,0.0730092,-0.1880331,0.19638729,0.013528485,-0.24525988,0.032617416,0.033499092,0.22254442,0.24471192
